         1331522 function calls (1305160 primitive calls) in 1.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.303    1.303 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/src/train_and_inference.py:212(train_and_generate)
        1    0.002    0.002    1.285    1.285 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/src/train_and_inference.py:70(train)
      201    0.000    0.000    0.529    0.003 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_compile.py:41(inner)
        1    0.000    0.000    0.525    0.525 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/adam.py:35(__init__)
        1    0.000    0.000    0.525    0.525 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/optim/optimizer.py:373(__init__)
   3571/1    0.002    0.000    0.525    0.525 <frozen importlib._bootstrap>:1360(_find_and_load)
    813/1    0.002    0.000    0.525    0.525 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
    780/1    0.001    0.000    0.525    0.525 <frozen importlib._bootstrap>:914(_load_unlocked)
    778/1    0.001    0.000    0.525    0.525 <frozen importlib._bootstrap_external>:756(exec_module)
   2333/2    0.001    0.000    0.524    0.262 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   1038/1    0.032    0.000    0.524    0.524 {built-in method builtins.exec}
        1    0.000    0.000    0.524    0.524 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/__init__.py:1(<module>)
    864/2    0.001    0.000    0.524    0.262 <frozen importlib._bootstrap>:1401(_handle_fromlist)
    749/3    0.000    0.000    0.524    0.175 {built-in method builtins.__import__}
        1    0.000    0.000    0.467    0.467 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/aot_compile.py:1(<module>)
        1    0.000    0.000    0.463    0.463 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
        1    0.000    0.000    0.452    0.452 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/symbolic_convert.py:1(<module>)
     2300    0.289    0.000    0.289    0.000 {method 'item' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.262    0.262 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/exc.py:1(<module>)
        1    0.000    0.000    0.261    0.261 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/utils.py:1(<module>)
        1    0.000    0.000    0.248    0.248 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.232    0.232 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/__init__.py:1(<module>)
      778    0.002    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:829(get_code)
        1    0.000    0.000    0.179    0.179 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/trace_rules.py:1(<module>)
      250    0.000    0.000    0.146    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/dataloader.py:727(__next__)
        1    0.000    0.000    0.142    0.142 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/__init__.py:1(<module>)
        1    0.000    0.000    0.141    0.141 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/base.py:1(<module>)
      250    0.002    0.000    0.141    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/dataloader.py:786(_next_data)
      200    0.002    0.000    0.134    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/_utils/fetch.py:47(fetch)
      779    0.001    0.000    0.129    0.000 <frozen importlib._bootstrap_external>:950(get_data)
        1    0.000    0.000    0.124    0.124 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/__init__.py:1(<module>)
        1    0.000    0.000    0.122    0.122 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/variables/builder.py:1(<module>)
      200    0.000    0.000    0.117    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/_utils/collate.py:337(default_collate)
  400/200    0.002    0.000    0.117    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/_utils/collate.py:118(collate)
      200    0.000    0.000    0.112    0.001 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/data/_utils/collate.py:243(collate_tensor_fn)
      200    0.111    0.001    0.111    0.001 {built-in method torch.stack}
        1    0.000    0.000    0.111    0.111 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/side_effects.py:1(<module>)
