generator,sample_size,training_time_mean,training_time_std,final_loss_mean,final_loss_std,n_epochs_mean,n_epochs_std,mmd_mean,mmd_std,two_sample_mean_p_mean,two_sample_mean_p_std,two_sample_rejected_mean,two_sample_rejected_std,mean_distance_mean,mean_distance_std,cov_frobenius_mean,cov_frobenius_std
ChiSquare(df=5),100,2.321723,0.073174,2.163002,0.250635,200.0,0.0,0.427853,0.078465,8.6e-05,0.000232,1.0,0.0,1.835433,0.406552,8.037353,1.917407
ChiSquare(df=5),500,6.230955,1.469822,1.718478,0.078032,140.9,20.179473,0.033474,0.026936,0.331119,0.283803,0.1,0.316228,0.117672,0.100218,2.92673,0.80261
ChiSquare(df=5),1000,6.731756,2.905297,1.698271,0.052742,104.3,20.971144,0.004723,0.006465,0.621316,0.194908,0.0,0.0,0.090179,0.055522,1.31455,0.621176
Exponential(λ=1.00),100,2.513889,0.431921,0.551725,0.070373,200.0,0.0,0.288547,0.047742,0.009771,0.01757,0.9,0.316228,0.149759,0.048758,0.860002,0.282896
Exponential(λ=1.00),500,7.2507,1.276404,0.501265,0.031239,151.5,25.936889,0.017494,0.023088,0.537691,0.275375,0.0,0.0,0.054547,0.030568,0.285008,0.098618
Exponential(λ=1.00),1000,8.470238,1.244257,0.498406,0.01423,85.0,13.165612,0.03115,0.02125,0.369712,0.297372,0.2,0.421637,0.030273,0.027381,0.233401,0.088314
"Lognormal(μ=0, σ=1)",100,2.426495,0.118879,0.895038,0.125665,200.0,0.0,0.328484,0.044693,0.000993,0.001064,1.0,0.0,0.429958,0.128386,4.618345,2.86696
"Lognormal(μ=0, σ=1)",500,8.166039,1.112518,0.867612,0.125932,164.9,23.544049,0.063123,0.028607,0.197073,0.218268,0.1,0.316228,0.22429,0.095138,3.751081,3.660894
"Lognormal(μ=0, σ=1)",1000,10.012104,2.034908,0.873319,0.076019,112.2,18.896208,0.060578,0.017568,0.087296,0.098927,0.5,0.527046,0.171469,0.081524,3.256824,1.871043
"Normal(μ=0, σ=1)",100,2.48043,0.578243,0.576338,0.05497,199.0,3.162278,0.064246,0.061157,0.497079,0.257686,0.0,0.0,0.06249,0.043989,0.427315,0.154612
"Normal(μ=0, σ=1)",500,4.213586,0.611133,0.554068,0.025821,86.1,12.431591,0.027345,0.025929,0.441925,0.314811,0.1,0.316228,0.047399,0.045403,0.082319,0.047802
"Normal(μ=0, σ=1)",1000,6.204323,1.546038,0.558206,0.013131,62.5,15.472197,0.016545,0.014817,0.501548,0.298324,0.0,0.0,0.028065,0.012953,0.087736,0.035639
"Uniform(0, 2)",100,2.278421,0.069675,0.355082,0.015841,199.1,2.84605,0.173952,0.031529,0.01414,0.023541,0.9,0.316228,0.085762,0.052643,0.164022,0.041823
"Uniform(0, 2)",500,7.222733,1.214729,0.339971,0.006727,146.7,23.026796,0.075134,0.009319,0.026778,0.028222,0.9,0.316228,0.049542,0.026216,0.079156,0.035416
"Uniform(0, 2)",1000,9.965364,1.812289,0.337188,0.006432,100.3,16.391393,0.055991,0.014866,0.007609,0.00879,1.0,0.0,0.030241,0.017439,0.067906,0.025718
